actor,movie_or_TV_name
Suzie Shearer,Peter & Wendy
Teddy Schwarzman,The Imitation Game
Teddy Schwarzman,Knock Knock
Teddy Schwarzman,I Care a Lot
Teddy Schwarzman,Suburbicon
Teddy Schwarzman,All Is Lost
Teddy Schwarzman,Gold
Teddy Schwarzman,Broken City
Teddy Schwarzman,Mudbound
Graham Moore,The Imitation Game
Graham Moore,The Outfit
Graham Moore,Mind Fall
Peter Heslop,The Imitation Game
Peter Heslop,Star Wars: Episode I - The Phantom Menace
Peter Heslop,Star Wars: Episode II - Attack of the Clones
Peter Heslop,The Mummy
Peter Heslop,The King's Speech
Peter Heslop,Lara Croft: Tomb Raider - The Cradle of Life
Peter Heslop,The Hitchhiker's Guide to the Galaxy
Peter Heslop,Phantom Thread
Nina Gold,Game of Thrones
Nina Gold,The Martian
Nina Gold,Star Wars: The Force Awakens
Nina Gold,The Imitation Game
Nina Gold,Star Wars: The Last Jedi
Nina Gold,Prometheus
Nina Gold,1917
Nina Gold,Jurassic World: Fallen Kingdom
William Goldenberg,The Imitation Game
William Goldenberg,Argo
William Goldenberg,Transformers: Dark of the Moon
William Goldenberg,Transformers: Age of Extinction
William Goldenberg,Heat
William Goldenberg,National Treasure
William Goldenberg,Hook
William Goldenberg,National Treasure: Book of Secrets
Jonathan Collard,The Imitation Game
Jonathan Collard,The Killing of a Sacred Deer
Jonathan Collard,Cold Pursuit
Jonathan Collard,Macbeth
Jonathan Collard,The Guernsey Literary & Potato Peel Pie Society
Jonathan Collard,Bastille Day
Jonathan Collard,The Secret Garden
Jonathan Collard,Saint Maud
Crispin Reece,The Imitation Game
Crispin Reece,The Bible
Crispin Reece,Hear My Song
Crispin Reece,The Canterville Ghost
Crispin Reece,Bliss
Crispin Reece,Deadly Legacy
James Manning,The Imitation Game
James Manning,Charlie's Angels
James Manning,Mary Queen of Scots
James Manning,The Nevers
James Manning,Their Finest
James Manning,Hustle
Beverly Winston,The Imitation Game
Beverly Winston,Children of Men
Beverly Winston,Prince of Persia: The Sands of Time
Beverly Winston,Jack Reacher: Never Go Back
Beverly Winston,London Has Fallen
Beverly Winston,Legend
Beverly Winston,Angel Has Fallen
Beverly Winston,A Knight's Tale
Phil Booth,The Imitation Game
Phil Booth,Assassin's Creed
Phil Booth,Red Sparrow
Phil Booth,The Book Thief
Phil Booth,Johnny English Strikes Again
Phil Booth,Last Christmas
Phil Booth,The X Files
Phil Booth,Centurion
Morten Tyldum,The Imitation Game
Morten Tyldum,Passengers
Morten Tyldum,Defending Jacob
Morten Tyldum,Headhunters
Morten Tyldum,Tom Clancy's Jack Ryan
Morten Tyldum,Counterpart
Morten Tyldum,Buddy
Morten Tyldum,Varg Veum - Fallen Angels
Robert Messinger,The Imitation Game
Robert Messinger,Loving Vincent
Robert Messinger,The Young Victoria
Robert Messinger,An Inconvenient Truth
Robert Messinger,"New York, I Love You"
Sarah Shepherd,Avengers: Infinity War
